Date,Source,Site ID,POC,Daily.Max.8.hour.CO.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/14/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/15/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/16/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/17/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/18/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/19/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/20/2016,AQS,360010012,1,0,ppm,0,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/21/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/22/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/23/2016,AQS,360010012,1,0.1,ppm,1,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/24/2016,AQS,360010012,1,0,ppm,0,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/25/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,18,75,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/26/2016,AQS,360010012,1,0.3,ppm,3,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/27/2016,AQS,360010012,1,0.3,ppm,3,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/28/2016,AQS,360010012,1,0.2,ppm,2,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/29/2016,AQS,360010012,1,0.3,ppm,3,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
4/30/2016,AQS,360010012,1,0.3,ppm,3,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/1/2016,AQS,360010012,1,0.3,ppm,3,LOUDONVILLE,24,100,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
5/2/2016,AQS,360010012,1,0.4,ppm,5,LOUDONVILLE,18,75,42101,Carbon monoxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
